K       Mean_distance   minWCSS      AIC     BIC
1       4.292625        760.000000      800.000000      833.271233
2       3.301261        451.905288      531.905288      598.447754
3       2.674952        312.047179      432.047179      531.860877
4       2.408484        257.328914      417.328914      550.413845
5       2.206513        213.080831      413.080831      579.436996
6       1.976688        173.532476      413.532476      613.159873
7       1.821128        144.842776      424.842776      657.741406
8       1.674377        123.957047      443.957047      710.126910
9       1.579737        109.941774      469.941774      769.382870
10      1.471670        95.154788       495.154788      827.867117
11      1.464964        93.405903       533.405903      899.389465
12      1.303113        80.004923       560.004923      959.259718
13      1.225977        71.299331       591.299331      1023.825359
14      1.169156        68.906666       628.906666      1094.703927
15      1.186590        67.895294       667.895294      1166.963788
