K       Mean_distance   minWCSS AIC     BIC
1       4.215419        1800.000000     1840.000000     1890.217190
2       3.253779        1071.504449     1151.504449     1251.938830
3       2.793658        831.392427      951.392427      1102.043997
4       2.634998        729.845033      889.845033      1090.713794
5       2.469656        630.079978      830.079978      1081.165929
6       2.308030        547.646919      787.646919      1088.950059
7       2.193697        493.263206      773.263206      1124.783537
8       2.053600        442.101675      762.101675      1163.839196
9       1.983581        398.277314      758.277314      1210.232026
10      1.939092        380.895128      780.895128      1283.067029
11      1.878049        356.981725      796.981725      1349.370816
12      1.832203        341.022893      821.022893      1423.629174
13      1.786326        329.025339      849.025339      1501.848811
14      1.750554        311.884391      871.884391      1574.925053
15      1.704599        301.921460      901.921460      1655.179312
