K       Mean_distance   minWCSS AIC     BIC
1       4.272987        2580.000000     2620.000000     2677.350689
2       3.351689        1594.281392     1674.281392     1788.982770
3       3.001608        1330.594871     1450.594871     1622.646938
4       2.746184        1132.511956     1292.511956     1521.914712
5       2.534801        955.240557      1155.240557     1441.994002
6       2.435006        874.252141      1114.252141     1458.356275
7       2.332140        797.930228      1077.930228     1479.385051
8       2.210307        731.995097      1051.995097     1510.800609
9       2.160394        678.622891      1038.622891     1554.779092
10      2.064945        620.617858      1020.617858     1594.124748
11      2.001985        586.773091      1026.773091     1657.630670
12      1.942600        542.042914      1022.042914     1710.251182
13      1.880465        521.057904      1041.057904     1786.616862
14      1.833431        495.295066      1055.295066     1858.204712
15      1.800817        473.710732      1073.710732     1933.971067
